"","ServiceStationName","Address"
"1946","Caltex Woolworths Scone","254 Kelly St, Scone NSW 2337"
"1947","Caltex Woolworths Forbes","26 Dowling Street (Cnr Newell Hwy), Forbes NSW 2871"
"1948","Caltex Woolworths Griffith","29 Banna Avenue, Griffith NSW 2680"
"1949","Caltex Woolworths Inverell","262 Byron Street, Inverell NSW 2360"
"1951","Caltex Woolworths Moruya","2808 Princes Hwy (cnr Ford St), Moruya NSW 2537"
"1952","Caltex Woolworths Batemans Bay","27 Vesper Street (Cnr Princes Hwy & Guy St), Batemans Bay NSW 2536"
"1953","Caltex Woolworths Lithgow","41 Lithgow Street (Cnr Mort Street), Lithgow NSW 2790"
"1954","Caltex Woolworths Byron Bay","76-78 Shirley Street, Byron Bay NSW 2481"
"1955","Caltex Woolworths Lismore","99 Diadem Street, Lismore NSW 2480"
"1956","Caltex Woolworths Grafton","75-77 Fitzroy Street, Grafton NSW 2460"
"1957","7-Eleven Lisarow","911 Pacific Highway, Lisarow NSW 2250"
"1958","7-Eleven Tweed Heads Sth","112 Minjungbal Dr, TWEED HEADS SOUTH NSW 2486"
